"","x","y","state","color"
"97",-5.74939823150635,-15.9726228713989,"scData_initial",21
"98",-7.66627168655396,6.35526990890503,"scData_initial",36
"99",-6.18001699447632,-4.70467233657837,"scData_initial",22
"100",6.65581130981445,8.12242126464844,"scData_initial",46
"101",8.16527366638184,-0.918455421924591,"scData_initial",70
"102",8.80057621002197,5.7696418762207,"scData_initial",58
"103",8.33849239349365,-1.62879252433777,"scData_initial",20
"104",-11.1545124053955,-0.748194873332977,"scData_initial",23
"105",6.92682504653931,9.09641361236572,"scData_initial",45
"106",-6.25278186798096,6.58642911911011,"scData_initial",69
"107",6.82239627838135,5.39397144317627,"scData_initial",8
"108",-3.51668310165405,3.84032511711121,"scData_initial",35
"109",4.33506345748901,8.50294017791748,"scData_initial",19
"110",6.44553470611572,5.72824764251709,"scData_initial",89
